Name,Description,Type,Conversion,Unit,Decimals,Comments
Inv01_Act_Power,Inv01_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv01_B_Amps,Inv01_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv01_DC01_Amps,Inv01_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC02_Amps,Inv01_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC03_Amps,Inv01_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC04_Amps,Inv01_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC05_Amps,Inv01_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC06_Amps,Inv01_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC07_Amps,Inv01_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC08_Amps,Inv01_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC09_Amps,Inv01_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC10_Amps,Inv01_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv01_DC1_Volt,Inv01_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv01_DC_Power,Inv01_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv01_Fault_Code,Inv01_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv01_Freq,Inv01_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv01_LL_Volt,Inv01_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv01_Pf,Inv01_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv01_R_Amps,Inv01_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv01_R_Volt,Inv01_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv01_Status,Inv01_Status,Data source,RawData × 1,,2,Instantaneous value
Inv01_Temp,Inv01_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv01_Today_Energy,Inv01_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv01_Today_Run,Inv01_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv01_Total_Energy,Inv01_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv01_Total_Run,Inv01_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv01_Y_Amps,Inv01_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv02_Act_Power,Inv02_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv02_B_Amps,Inv02_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv02_DC01_Amps,Inv02_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC02_Amps,Inv02_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC03_Amps,Inv02_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC04_Amps,Inv02_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC05_Amps,Inv02_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC06_Amps,Inv02_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC07_Amps,Inv02_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC08_Amps,Inv02_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC09_Amps,Inv02_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv02_DC1_Volt,Inv02_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv02_DC_Power,Inv02_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv02_Fault_Code,Inv02_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv02_Freq,Inv02_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv02_LL_Volt,Inv02_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv02_Pf,Inv02_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv02_R_Amps,Inv02_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv02_R_Volt,Inv02_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv02_Status,Inv02_Status,Data source,RawData × 1,,2,Instantaneous value
Inv02_Temp,Inv02_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv02_Today_Energy,Inv02_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv02_Today_Run,Inv02_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv02_Total_Energy,Inv02_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv02_Total_Run,Inv02_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv02_Y_Amps,Inv02_Y_Amps,Data source,RawData ÷ 10,A,2,Incremental value
Inv03_Act_Power,Inv03_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv03_B_Amps,Inv03_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv03_DC01_Amps,Inv03_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC02_Amps,Inv03_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC03_Amps,Inv03_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC04_Amps,Inv03_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC05_Amps,Inv03_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC06_Amps,Inv03_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC07_Amps,Inv03_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC08_Amps,Inv03_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC09_Amps,Inv03_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC10_Amps,Inv03_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC11_Amps,Inv03_DC11_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv03_DC1_Volt,Inv03_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv03_DC_Power,Inv03_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv03_Fault_Code,Inv03_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv03_Freq,Inv03_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv03_LL_Volt,Inv03_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv03_Pf,Inv03_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv03_R_Amps,Inv03_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv03_R_Volt,Inv03_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv03_Status,Inv03_Status,Data source,RawData × 1,,2,Instantaneous value
Inv03_Temp,Inv03_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv03_Today_Energy,Inv03_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv03_Today_Run,Inv03_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv03_Total_Energy,Inv03_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv03_Total_Run,Inv03_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv03_Y_Amps,Inv03_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv04_Act_Power,Inv04_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv04_B_Amps,Inv04_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv04_DC1-1_Amps,Inv04_DC1-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv04_DC1-2_Amps,Inv04_DC1-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv04_DC1_Volt,Inv04_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv04_DC2-1_Amps,Inv04_DC2-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv04_DC2-2_Amps,Inv04_DC2-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv04_DC2_Volt,Inv04_DC2_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv04_DC3-1_Amps,Inv04_DC3-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv04_DC3_Volt,Inv04_DC3_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv04_DC_Power,Inv04_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv04_Fault_Code,Inv04_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv04_Freq,Inv04_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv04_LL_Volt,Inv04_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv04_Pf,Inv04_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv04_R_Amps,Inv04_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv04_R_Volt,Inv04_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv04_Status,Inv04_Status,Data source,RawData × 1,,2,Instantaneous value
Inv04_Temp,Inv04_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv04_Today_Energy,Inv04_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv04_Today_Run,Inv04_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv04_Total_Energy,Inv04_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv04_Total_Run,Inv04_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv04_Y_Amps,Inv04_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv05_Act_Power,Inv05_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv05_B_Amps,Inv05_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv05_DC1-1_Amps,Inv05_DC1-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC1-2_Amps,Inv05_DC1-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC1_Volt,Inv05_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_DC2-1_Amps,Inv05_DC2-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC2-2_Amps,Inv05_DC2-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC2_Volt,Inv05_DC2_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_DC3-1_Amps,Inv05_DC3-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC3-2_Amps,Inv05_DC3-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC3_Volt,Inv05_DC3_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_DC_Power,Inv05_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv05_Fault_Code,Inv05_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv05_Freq,Inv05_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv05_LL_Volt,Inv05_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv05_Pf,Inv05_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv05_R_Amps,Inv05_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv05_R_Volt,Inv05_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_Status,Inv05_Status,Data source,RawData × 1,,2,Instantaneous value
Inv05_Temp,Inv05_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv05_Today_Energy,Inv05_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv05_Today_Run,Inv05_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv05_Total_Energy,Inv05_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv05_Total_Run,Inv05_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv05_Y_Amps,Inv05_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv06_Act_Power,Inv06_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv06_B_Amps,Inv06_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv06_DC01_Amps,Inv06_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC02_Amps,Inv06_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC03_Amps,Inv06_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC04_Amps,Inv06_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC05_Amps,Inv06_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC06_Amps,Inv06_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC07_Amps,Inv06_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC08_Amps,Inv06_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC09_Amps,Inv06_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC10_Amps,Inv06_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC11_Amps,Inv06_DC11_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC12_Amps,Inv06_DC12_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC1_Volt,Inv06_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv06_DC_Power,Inv06_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv06_Fault_Code,Inv06_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv06_Freq,Inv06_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv06_LL_Volt,Inv06_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv06_Pf,Inv06_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv06_R_Amps,Inv06_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv06_R_Volt,Inv06_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
