Name,Description,Type,Conversion,Unit,Decimals,Comments
Inv06_Status,Inv06_Status,Data source,RawData × 1,,2,Instantaneous value
Inv06_Temp,Inv06_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv06_Today_Energy,Inv06_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv06_Today_Run,Inv06_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv06_Total_Energy,Inv06_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv06_Total_Run,Inv06_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv06_Y_Amps,Inv06_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv07_Act_Power,Inv07_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv07_B_Amps,Inv07_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv07_DC01_Amps,Inv07_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC02_Amps,Inv07_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC03_Amps,Inv07_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC04_Amps,Inv07_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC05_Amps,Inv07_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC06_Amps,Inv07_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC07_Amps,Inv07_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC08_Amps,Inv07_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC09_Amps,Inv07_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC10_Amps,Inv07_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC11_Amps,Inv07_DC11_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC12_Amps,Inv07_DC12_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC1_Volt,Inv07_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv07_DC_Power,Inv07_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv07_Fault_Code,Inv07_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv07_Freq,Inv07_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv07_LL_Volt,Inv07_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv07_Pf,Inv07_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv07_R_Amps,Inv07_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv07_R_Volt,Inv07_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv07_Status,Inv07_Status,Data source,RawData × 1,,2,Instantaneous value
Inv07_Temp,Inv07_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv07_Today_Energy,Inv07_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv07_Today_Run,Inv07_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv07_Total_Energy,Inv07_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv07_Total_Run,Inv07_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv07_Y_Amps,Inv07_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv08_Act_Power,Inv08_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv08_B_Amps,Inv08_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv08_DC01_Amps,Inv08_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC02_Amps,Inv08_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC03_Amps,Inv08_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC04_Amps,Inv08_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC05_Amps,Inv08_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC06_Amps,Inv08_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC07_Amps,Inv08_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC08_Amps,Inv08_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC09_Amps,Inv08_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC10_Amps,Inv08_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC11_Amps,Inv08_DC11_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC12_Amps,Inv08_DC12_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC1_Volt,Inv08_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv08_DC_Power,Inv08_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv08_Fault_Code,Inv08_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv08_Freq,Inv08_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv08_LL_Volt,Inv08_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv08_Pf,Inv08_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv08_R_Amps,Inv08_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv08_R_Volt,Inv08_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv08_Status,Inv08_Status,Data source,RawData × 1,,2,Instantaneous value
Inv08_Temp,Inv08_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv08_Today_Energy,Inv08_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv08_Today_Run,Inv08_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv08_Total_Energy,Inv08_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv08_Total_Run,Inv08_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv08_Y_Amps,Inv08_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv09_Act_Power,Inv09_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv09_B_Amps,Inv09_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv09_DC1-1_Amps,Inv09_DC1-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv09_DC1-2_Amps,Inv09_DC1-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv09_DC1_Volt,Inv09_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv09_DC2-1_Amps,Inv09_DC2-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv09_DC2-2_Amps,Inv09_DC2-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv09_DC2_Volt,Inv09_DC2_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv09_DC3-1_Amps,Inv09_DC3-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv09_DC3-2_Amps,Inv09_DC3-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv09_DC3_Volt,Inv09_DC3_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv09_DC_Power,Inv09_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv09_Fault_Code,Inv09_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv09_Freq,Inv09_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv09_LL_Volt,Inv09_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv09_Pf,Inv09_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv09_R_Amps,Inv09_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv09_R_Volt,Inv09_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv09_Status,Inv09_Status,Data source,RawData × 1,,2,Instantaneous value
Inv09_Temp,Inv09_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv09_Today_Energy,Inv09_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv09_Today_Run,Inv09_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv09_Total_Energy,Inv09_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv09_Total_Run,Inv09_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv09_Y_Amps,Inv09_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv10_Act_Power,Inv10_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv10_B_Amps,Inv10_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv10_DC1-1_Amps,Inv10_DC1-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC1-2_Amps,Inv10_DC1-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC1-3_Amps,Inv10_DC1-3_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC1_Volt,Inv10_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv10_DC2-1_Amps,Inv10_DC2-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC2-2_Amps,Inv10_DC2-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC2_Volt,Inv10_DC2_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv10_DC3-1_Amps,Inv10_DC3-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC3-2_Amps,Inv10_DC3-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv10_DC3_Volt,Inv10_DC3_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv10_DC_Power,Inv10_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv10_Fault_Code,Inv10_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv10_Freq,Inv10_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv10_LL_Volt,Inv10_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv10_Pf,Inv10_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv10_R_Amps,Inv10_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv10_R_Volt,Inv10_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv10_Status,Inv10_Status,Data source,RawData × 1,,2,Instantaneous value
Inv10_Temp,Inv10_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv10_Today_Energy,Inv10_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv10_Today_Run,Inv10_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv10_Total_Energy,Inv10_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv10_Total_Run,Inv10_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv10_Y_Amps,Inv10_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Mfm01_Act_Power,Mfm01_Act_Power,Data source,RawData × 1,kW,2,Instantaneous value
Mfm01_Avg_Amps,Mfm01_Avg_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm01_Avg_LL_Volt,Mfm01_Avg_LL_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_Avg_LN_Volt,Mfm01_Avg_LN_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_BR_Volt,Mfm01_BR_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_B_Amps,Mfm01_B_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm01_B_Volt,Mfm01_B_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_Export Energy,Mfm01_Export Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Mfm01_Freq,Mfm01_Freq,Data source,RawData × 1,Hz,2,Instantaneous value
Mfm01_Import Energy,Mfm01_Import Energy,Data source,RawData × 1,kWh,2,Incremental value
Mfm01_Pf,Mfm01_Pf,Data source,RawData × 1,,2,Instantaneous value
Mfm01_RY_Volt,Mfm01_RY_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_R_Amps,Mfm01_R_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm01_R_Volt,Mfm01_R_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_React_Power,Mfm01_React_Power,Data source,RawData × 1,kvar,2,Instantaneous value
Mfm01_YB_Volt,Mfm01_YB_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_Y_Amps,Mfm01_Y_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm01_Y_Volt,Mfm01_Y_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Act_Power,Mfm02_Act_Power,Data source,RawData × 1,kW,2,Instantaneous value
Mfm02_Avg_Amps,Mfm02_Avg_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_Avg_LL_Volt,Mfm02_Avg_LL_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Avg_LN_Volt,Mfm02_Avg_LN_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_BR_Volt,Mfm02_BR_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_B_Amps,Mfm02_B_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_B_Volt,Mfm02_B_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Export Energy,Mfm02_Export Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Mfm02_Freq,Mfm02_Freq,Data source,RawData × 1,Hz,2,Instantaneous value
Mfm02_Import Energy,Mfm02_Import Energy,Data source,RawData × 1,kWh,2,Incremental value
Mfm02_Pf,Mfm02_Pf,Data source,RawData × 1,,2,Instantaneous value
Mfm02_RY_Volt,Mfm02_RY_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_R_Amps,Mfm02_R_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_R_Volt,Mfm02_R_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_React_Power,Mfm02_React_Power,Data source,RawData × 1,kvar,2,Instantaneous value
Mfm02_YB_Volt,Mfm02_YB_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Y_Amps,Mfm02_Y_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_Y_Volt,Mfm02_Y_Volt,Data source,RawData × 1,V,2,Instantaneous value
Wms01_Irradiance,Wms01_Irradiance,Data source,RawData × 1,W/m²,2,Instantaneous value
Wms02_Irradiance,Wms02_Irradiance,Data source,RawData × 1,W/m²,2,Instantaneous value
